STNG
NYT
HMHC
DY
FLEX
MELI
CRM
NICE
MSTR
DT
MIC
KEM
FIS
EEFT
FTDR
ETSY
CVNA
VICR
KEX
NTNX
OCFC
ESTC
RMR
NEWR
OPB
CDAY
STAY
SYNH
NEA
SE
LRCX
MSBI
USAT
VRTU
GDDY
PTON
APTO
VIPS
AMOT
PRO
LYV
EVV
SE
BCOV
PRQR
PFPT
SEE
YELP
AAPL
HCA
MOMO
DOMO
J
MRVL
TNDM
PRSP
ZBRA
CNC
OPRX
SEIC
DCPH
ANTM
PYPL
H
CI
THC
UNH
PETQ
UHS
BSTC
DHR
CSGP
TAL
MG
SNY
ISRG
IBCP
BRO
BTZ
FB
TTC
CHNG
GDDY
MTBC
CLS
BMRN
SPOT
OI
SBGI
GDDY
GTX
BWG
GHY
BABA
JQC
AZN
NVEE
AIMC
ATEX
TBK
VPG
GOOGL
WIW
SERV
CDLX
TMO
SBGI
STRA
ARAY
NWSA
EVBN
AVLR
HRC
HBT
BMY
AMGN
BIIB
IDCC
